A15	21	N	NS	5250	Καβσεηλ	καβσεηλ	καβσεηλ	Καβσεηλ	Kabsehl	kabsehl	kabsehl	Kabsehl	Kabsehl				*KABSEHL	*KABSEHL
15	32	RD	GPF	11	αὐτῶν	αὐτων	αυτων	αὐτός	au)tw~n	au)twn	autwn	au)to/j	au)to/j			.	AU)TW=N	AU)TO/S
15	33	P		8	Ἐν	ἐν	εν	ἐν	E)n	e)n	en	e)n	e)n				E)N	E)N
15	33	RA	DSF	10	τῇ	τη	τη	ὁ	th~|	th	th	o(	o(				TH=|	O(
15	33	A1	DSF	13699	πεδινῇ	πεδινη	πεδινη	πεδινός	pedinh~|	pedinh	pedinh	pedino/j	pedino/j			·	PEDINH=|	PEDEINO/S
15	33	N	NS	5250	Εσθαολ	εσθαολ	εσθαολ	Εσθαολ	Esqaol	esqaol	esqaol	Esqaol	Esqaol				*ESQAOL	*ESQAOL
15	33	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	33	N	NS	5250	Σαραα	σαραα	σαραα	Σαραα	Saraa	saraa	saraa	Saraa	Saraa				*SARAA	*SARAA
15	33	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	33	N	NS	5250	Ασνα	ασνα	ασνα	Ασνα	Asna	asna	asna	Asna	Asna				*ASNA	*ASNA
15	34	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	34	N	NS	5250	Ραμεν	ραμεν	ραμεν	Ραμεν	Ramen	ramen	ramen	Ramen	Ramen				*RAMEN	*RAMEN
15	34	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	34	N	NS	5250	Ζανω	ζανω	ζανω	Ζανω	Zanw	zanw	zanw	Zanw	Zanw				*ZANW	*ZANW
15	34	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	34	N	NS	5250	Αδιαθαιμ	αδιαθαιμ	αδιαθαιμ	Αδιαθαϊμ	Adiaqaim	adiaqaim	adiaqaim	Adiaqai:m	Adiaqai:m				*ADIAQAI+M	*ADIAQAI+M
15	34	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	34	N	NS	5250	Ηναιμ	ηναιμ	ηναιμ	Ηναϊμ	Hnaim	hnaim	hnaim	Hnai:m	Hnai:m				*HNAI+M	*HNAI+M
15	35	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	35	N	NS	5250	Ιεριμουθ	ιεριμουθ	ιεριμουθ	Ιεριμουθ	Ierimouq	ierimouq	ierimouq	Ierimouq	Ierimouq				*IERIMOUQ	*IERIMOUQ
15	35	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
